,avg_attribution_coeff_bw,relative_order_bw,feature_importance_rank_bw,avg_attribution_coeff_claix,relative_order_claix,feature_importance_rank_claix
POSIX_F_READ_TIME,0.24114245010665916,1.0,1.0,0.24662586056634128,1.0,1.0
POSIX_TOTAL_TIME,0.10413707566976975,2.0,2.0,0.11019859827685566,2.0,2.0
POSIX_F_WRITE_TIME,0.09201715693871008,3.0,3.0,0.09634202739972338,3.0,3.0
POSIX_F_META_TIME,0.06971347204382798,4.0,4.0,0.06875932213896521,4.0,4.0
POSIX_ACCESS2_ACCESS,0.010361181821222063,5.0,6.0,0.011412443749071275,6.0,7.0
POSIX_F_SLOWEST_RANK_TIME,0.010032019227449443,6.0,7.0,0.012617581304209676,5.0,6.0
POSIX_F_MAX_WRITE_TIME,0.009442785103177885,7.0,8.0,0.004069848014729726,13.0,17.0
POSIX_F_MAX_READ_TIME,0.007052859750902605,8.0,12.0,0.006424600568722714,7.0,10.0
READ_100_1K,0.005458247576181088,9.0,13.0,0.006259497132693307,8.0,11.0
POSIX_SIZE_READ_100_1K,0.005384298055622959,10.0,14.0,0.0054790099343919076,9.0,12.0
POSIX_MAX_WRITE_TIME_SIZE,0.00495266095254229,11.0,15.0,0.004598649160864849,10.0,14.0
POSIX_ACCESS2_COUNT,0.003794097276628847,12.0,20.0,0.0042470739757154465,12.0,16.0
POSIX_RW_SWITCHES,0.0037732363342882136,13.0,21.0,0.004591700638687633,11.0,15.0
POSIX_READS,0.0034729747310687648,14.0,24.0,0.003640461461111475,14.0,18.0
POSIX_ACCESS1_ACCESS,0.0031429579535774193,15.0,26.0,0.003039718990138127,18.0,24.0
POSIX_SLOWEST_RANK_BYTES,0.0031148922416992827,16.0,27.0,0.003289744286209796,16.0,21.0
POSIX_SEQ_READS,0.0028406574375663216,17.0,28.0,0.003237989310231021,17.0,22.0
POSIX_SIZE_READ_0_100,0.0024706789167074834,18.0,31.0,0.002613620763401841,24.0,31.0
READ_0_100,0.002425945939024492,19.0,33.0,0.0033625827109698666,15.0,20.0
POSIX_MAX_READ_TIME_SIZE,0.002304911798278026,20.0,35.0,0.002923076096652889,19.0,26.0
POSIX_ACCESS4_ACCESS,0.002067914621543397,21.0,39.0,0.001660423540801995,33.0,46.0
POSIX_STRIDE3_COUNT,0.002054281138432502,22.0,40.0,0.002354851520455551,26.0,36.0
POSIX_MAX_BYTE_READ,0.001965815657310861,23.0,42.0,0.0008625042580864713,51.0,70.0
READ_10M_100M,0.0019508524698663198,24.0,43.0,0.0025294832747207287,25.0,32.0
POSIX_STATS,0.0017772364311235767,25.0,45.0,0.001693820627483366,32.0,45.0
POSIX_SEEKS,0.0017574086158717698,26.0,46.0,0.0028193550287772947,22.0,29.0
POSIX_SIZE_WRITE_10M_100M,0.0016683911057071192,27.0,47.0,0.002786053878395325,23.0,30.0
POSIX_SIZE_READ_10M_100M,0.001586710325138418,28.0,50.0,0.0022841057315868547,27.0,37.0
WRITE_100_1K,0.0015562596421353151,29.0,51.0,0.0028955423098020136,20.0,27.0
POSIX_FASTEST_RANK_BYTES,0.0014927136743436938,30.0,52.0,0.0014834657153083642,39.0,52.0
POSIX_STRIDE1_COUNT,0.001481676098264441,31.0,54.0,0.001966521964052646,30.0,42.0
POSIX_ACCESS3_ACCESS,0.0012367386151098739,32.0,56.0,0.0008714759288645235,49.0,68.0
WRITE_100K_1M,0.0012026266143887407,33.0,57.0,0.001950849626785384,31.0,44.0
POSIX_MEM_ALIGNMENT,0.0011257217917863332,34.0,59.0,0.002874563818837548,21.0,28.0
READ_4M_10M,0.0011211004187254734,35.0,60.0,0.0008397989419785842,53.0,72.0
WRITE_1K_10K,0.0011185700934540571,36.0,61.0,0.0010404534011426705,47.0,66.0
POSIX_SIZE_WRITE_100K_1M,0.0010899076874298537,37.0,62.0,0.0013473654059551383,41.0,56.0
POSIX_MODE,0.001077045994414489,38.0,63.0,0.00037545127635172016,64.0,87.0
POSIX_SIZE_READ_4M_10M,0.0010441100728220492,39.0,64.0,0.0015215200925178026,37.0,50.0
POSIX_STRIDE1_STRIDE,0.0009054633742489824,40.0,65.0,0.0008023235387102552,55.0,74.0
POSIX_SIZE_WRITE_1K_10K,0.000875582050788826,41.0,66.0,0.0007115253984372539,58.0,79.0
WRITE_1G_PLUS,0.0007698021110648597,42.0,67.0,0.0003423171712831462,65.0,88.0
WRITE_10M_100M,0.0007223548582897884,43.0,68.0,0.001630128715354382,34.0,47.0
POSIX_SIZE_WRITE_1G_PLUS,0.0006970101494292892,44.0,69.0,0.0007482293338005703,57.0,77.0
POSIX_FASTEST_RANK,0.0006159566592752424,45.0,71.0,0.00041360215594034115,62.0,85.0
POSIX_SIZE_WRITE_100_1K,0.0005715546686314354,46.0,72.0,0.0020062338507112355,29.0,41.0
POSIX_STRIDE2_STRIDE,0.0005637677792100034,47.0,73.0,0.0012090493798444983,43.0,62.0
WRITE_10K_100K,0.00043515249434841936,48.0,74.0,0.0013663466858252536,40.0,54.0
POSIX_SLOWEST_RANK,0.0004326677708241488,49.0,75.0,0.0008606729549457126,52.0,71.0
POSIX_ACCESS3_COUNT,0.0004300606745426733,50.0,76.0,0.0011140886791340746,45.0,64.0
POSIX_STRIDE4_STRIDE,0.00021939357674065227,51.0,79.0,0.0012763601740564839,42.0,59.0
READ_100M_1G,0.00020724929148064345,52.0,80.0,0.0003167147273528949,66.0,89.0
POSIX_FILE_ALIGNMENT,0.00020404162555007373,53.0,81.0,0.0011853992208872841,44.0,63.0
POSIX_CONSEC_READS,0.00018870417972144122,54.0,83.0,0.0010772514951220037,46.0,65.0
rank,0.000170509996274979,55.0,84.0,0.0007637802852477704,56.0,76.0
POSIX_OPENS,0.00015692794330570867,56.0,85.0,0.0009395290295172785,48.0,67.0
POSIX_SIZE_READ_100M_1G,0.00015304922907215967,57.0,86.0,4.5162255712896007e-05,71.0,95.0
POSIX_RENAME_TARGETS,0.00011312633249041358,58.0,89.0,0.0014998748651015295,38.0,51.0
POSIX_SIZE_WRITE_1M_4M,8.279037886318059e-05,59.0,93.0,0.0005114073138316402,60.0,83.0
POSIX_RENAME_SOURCES,6.090963701440172e-05,60.0,94.0,0.0016165225985128604,35.0,48.0
WRITE_1M_4M,5.1086165642632665e-05,61.0,96.0,-4.2822606416908216e-05,73.0,96.0
POSIX_DUPS,-6.641047616290647e-06,62.0,97.0,0.001580325049540771,36.0,49.0
POSIX_ACCESS4_COUNT,-5.5046254200434093e-05,63.0,95.0,0.000302539354745027,67.0,90.0
POSIX_FILENOS,-9.128426625673408e-05,64.0,92.0,6.395929270037701e-05,70.0,94.0
POSIX_F_FASTEST_RANK_TIME,-0.00010450055756412145,65.0,91.0,0.0008682457833956161,50.0,69.0
POSIX_FSYNCS,-0.000111502686337039,66.0,90.0,0.0008164925527704115,54.0,73.0
WRITE_100M_1G,-0.00013042082459585198,67.0,88.0,1.5807274615675746e-05,72.0,97.0
POSIX_SIZE_WRITE_100M_1G,-0.00015202614075966422,68.0,87.0,0.000429755639149765,61.0,84.0
POSIX_STRIDE3_STRIDE,-0.00020303778984272927,69.0,82.0,0.00011162863424846702,69.0,93.0
POSIX_SIZE_WRITE_10K_100K,-0.00039410684135383146,70.0,78.0,0.0003969948414376809,63.0,86.0
POSIX_MAX_BYTE_WRITTEN,-0.0004147174131613647,71.0,77.0,0.0005226481648666396,59.0,82.0
nprocs,-0.0006560578201785781,72.0,70.0,0.0021694219043685674,28.0,40.0
POSIX_STRIDE2_COUNT,-0.0011338893495749106,73.0,58.0,0.00026110713309815636,68.0,91.0
WRITE_4M_10M,-0.0013913110382327981,74.0,55.0,-0.0006854380000676022,76.0,80.0
POSIX_SIZE_READ_100K_1M,-0.001484541750053788,75.0,53.0,-0.0012298547846648826,80.0,60.0
POSIX_SIZE_WRITE_4M_10M,-0.00159024512323348,76.0,49.0,-0.00018785890687431084,74.0,92.0
POSIX_MMAPS,-0.0016411240573357307,77.0,48.0,-0.0024046971709382713,89.0,34.0
READ_100K_1M,-0.0019123067473223098,78.0,44.0,-0.0012858013469379537,81.0,58.0
POSIX_FILE_NOT_ALIGNED,-0.0020433931789725288,79.0,41.0,-0.0007692207052172695,78.0,75.0
READ_10K_100K,-0.002089021049463285,80.0,38.0,-0.0029506460486398425,91.0,25.0
POSIX_SIZE_READ_10K_100K,-0.0020959543617455534,81.0,37.0,-0.0030632635322819235,92.0,23.0
POSIX_SIZE_READ_1K_10K,-0.0022221153398573777,82.0,36.0,-0.000615191197828575,75.0,81.0
READ_1K_10K,-0.002402409895281033,83.0,34.0,-0.0013479417208011751,83.0,55.0
POSIX_SEQ_WRITES,-0.0024686211275036104,84.0,32.0,-0.0007367850369799523,77.0,78.0
POSIX_WRITES,-0.0025133276274051366,85.0,30.0,-0.0012108355994730716,79.0,61.0
POSIX_STRIDE4_COUNT,-0.0025363734020131565,86.0,29.0,-0.001338452485327585,82.0,57.0
POSIX_CONSEC_WRITES,-0.003465427739382897,87.0,25.0,-0.0019581278789809263,85.0,43.0
READ_1M_4M,-0.0036575906071682545,88.0,23.0,-0.0014024427630815006,84.0,53.0
POSIX_ACCESS1_COUNT,-0.0037437290500817416,89.0,22.0,-0.0025067728575921067,90.0,33.0
POSIX_BYTES_WRITTEN,-0.0039010446734514537,90.0,19.0,-0.002211514769884626,86.0,39.0
POSIX_SIZE_READ_1M_4M,-0.0039045364019071674,91.0,18.0,-0.0023900865009321894,88.0,35.0
WRITE_0_100,-0.004346526175964411,92.0,17.0,-0.0035552054227656646,93.0,19.0
POSIX_SIZE_WRITE_0_100,-0.004580371774712177,93.0,16.0,-0.002225739766260259,87.0,38.0
POSIX_MEM_NOT_ALIGNED,-0.008241892060914285,94.0,11.0,-0.005309064765834423,94.0,13.0
READ_1G_PLUS,-0.009139530076544262,95.0,10.0,-0.00742876775550691,96.0,8.0
POSIX_SIZE_READ_1G_PLUS,-0.009202722549907684,96.0,9.0,-0.006814426649627554,95.0,9.0
POSIX_BYTES_READ,-0.02106501060787329,97.0,5.0,-0.017711441911449508,97.0,5.0
