,avg_attribution_coeff_bw,relative_order_bw,feature_importance_rank_bw,avg_attribution_coeff_claix,relative_order_claix,feature_importance_rank_claix
POSIX_F_READ_TIME,0.1090156719800077,1.0,1.0,0.11705540790420449,2.0,2.0
POSIX_F_META_TIME,0.09956718537888223,2.0,2.0,0.1190138441065644,1.0,1.0
POSIX_TOTAL_TIME,0.09007473004501544,3.0,3.0,0.09260660029407625,3.0,3.0
POSIX_F_SLOWEST_RANK_TIME,0.02989854259091854,4.0,4.0,0.035993598275094664,4.0,4.0
POSIX_MAX_WRITE_TIME_SIZE,0.02004433340872569,5.0,5.0,0.018257902558693702,6.0,6.0
POSIX_F_MAX_READ_TIME,0.017018306501958767,6.0,6.0,0.018274522794585794,5.0,5.0
POSIX_ACCESS2_ACCESS,0.015461825941750225,7.0,7.0,0.014358511080884076,7.0,7.0
nprocs,0.012763450678449023,8.0,9.0,0.01158642017653346,8.0,9.0
POSIX_ACCESS1_ACCESS,0.012718080658040152,9.0,10.0,0.00967162376406538,12.0,13.0
POSIX_SLOWEST_RANK_BYTES,0.011568820622935405,10.0,11.0,0.011299913978520223,9.0,10.0
POSIX_SIZE_READ_100_1K,0.01003852432288863,11.0,12.0,0.010072726499890302,11.0,12.0
READ_100_1K,0.010006596235191468,12.0,13.0,0.010476800421837221,10.0,11.0
POSIX_F_WRITE_TIME,0.009347916188330032,13.0,14.0,0.009079671934815773,13.0,15.0
POSIX_STRIDE1_COUNT,0.008371425776728312,14.0,17.0,0.008581031632205765,15.0,17.0
POSIX_READS,0.00736747141901831,15.0,23.0,0.008827590354639713,14.0,16.0
POSIX_SEEKS,0.007244106582353503,16.0,25.0,0.008181579080710162,16.0,18.0
POSIX_ACCESS2_COUNT,0.005512565876597859,17.0,26.0,0.0066345210080342625,18.0,21.0
POSIX_FILENOS,0.005360108237238603,18.0,27.0,0.0070701137403398374,17.0,19.0
POSIX_F_MAX_WRITE_TIME,0.0051436784036660394,19.0,28.0,0.0015354175241823885,43.0,59.0
POSIX_FILE_NOT_ALIGNED,0.004826735285305676,20.0,29.0,0.006281633938874602,19.0,23.0
POSIX_ACCESS1_COUNT,0.004361520610629774,21.0,31.0,0.005149621061205486,20.0,26.0
POSIX_CONSEC_WRITES,0.00391067959206004,22.0,34.0,0.005145383560180255,21.0,27.0
POSIX_SIZE_WRITE_100_1K,0.0034676119837363196,23.0,35.0,0.004062501758600149,22.0,31.0
WRITE_100_1K,0.003278808388649938,24.0,36.0,0.003985863698508249,23.0,32.0
POSIX_SEQ_WRITES,0.0031185788339833515,25.0,38.0,0.0035386978935008718,24.0,35.0
POSIX_SIZE_WRITE_0_100,0.002940399161768662,26.0,39.0,0.0035296740106796906,25.0,36.0
