Feature;Value;Cluster
READ_TIME;0.109015672;Blue Waters
META_TIME;0.099567185;Blue Waters
TOTAL_TIME;0.09007473;Blue Waters
SLOWEST_RANK_TIME;0.029898543;Blue Waters
MAX_WRITE_TIME_SIZE;0.020044333;Blue Waters
MAX_READ_TIME;0.017018307;Blue Waters
ACCESS2_ACCESS;0.015461826;Blue Waters
nprocs;0.012763451;Blue Waters
ACCESS1_ACCESS;0.012718081;Blue Waters
SLOWEST_RANK_BYTES;0.011568821;Blue Waters
SIZE_READ_100_1K;0.010038524;Blue Waters
Others;0;Blue Waters
SIZE_WRITE_10K_100K;-0.007419957;Blue Waters
SIZE_WRITE_100K_1M;-0.007464657;Blue Waters
WRITE_100K_1M;-0.007572888;Blue Waters
SIZE_READ_100K_1M;-0.007845516;Blue Waters
MODE;-0.00832583;Blue Waters
WRITE_10K_100K;-0.008513156;Blue Waters
READ_100K_1M;-0.008534457;Blue Waters
MAX_READ_TIME_SIZE;-0.01456441;Blue Waters
READ_TIME;0.117055408;Claix
META_TIME;0.119013844;Claix
TOTAL_TIME;0.0926066;Claix
SLOWEST_RANK_TIME;0.035993598;Claix
MAX_WRITE_TIME_SIZE;0.018257903;Claix
MAX_READ_TIME;0.018274523;Claix
ACCESS2_ACCESS;0.014358511;Claix
nprocs;0.01158642;Claix
ACCESS1_ACCESS;0.009671624;Claix
SLOWEST_RANK_BYTES;0.011299914;Claix
SIZE_READ_100_1K;0.010072726;Claix
Others;0;Claix
SIZE_WRITE_10K_100K;-0.005071624;Claix
SIZE_WRITE_100K_1M;-0.004704443;Claix
WRITE_100K_1M;-0.003738138;Claix
SIZE_READ_100K_1M;-0.005488066;Claix
MODE;-0.00939727;Claix
WRITE_10K_100K;-0.006823181;Claix
READ_100K_1M;-0.005395842;Claix
MAX_READ_TIME_SIZE;-0.013705437;Claix
