Feature;Value;Cluster
READ_TIME;0.24114245;Blue Waters
TOTAL_TIME;0.104137076;Blue Waters
WRITE_TIME;0.092017157;Blue Waters
META_TIME;0.069713472;Blue Waters
ACCESS2_ACCESS;0.010361182;Blue Waters
SLOWEST_RANK_TIME;0.010032019;Blue Waters
MAX_WRITE_TIME;0.009442785;Blue Waters
MAX_READ_TIME;0.00705286;Blue Waters
READ_100_1K;0.005458248;Blue Waters
SIZE_READ_100_1K;0.005384298;Blue Waters
MAX_WRITE_TIME_SIZE;0.004952661;Blue Waters
ACCESS2_COUNT;0.003794097;Blue Waters
RW_SWITCHES;0.003773236;Blue Waters
Others;0;Blue Waters
WRITE_0_100;-0.004346526;Blue Waters
SIZE_WRITE_0_100;-0.004580372;Blue Waters
MEM_NOT_ALIGNED;-0.008241892;Blue Waters
READ_1G_PLUS;-0.00913953;Blue Waters
SIZE_READ_1G_PLUS;-0.009202723;Blue Waters
BYTES_READ;-0.021065011;Blue Waters
READ_TIME;0.246625861;Claix
TOTAL_TIME;0.110198598;Claix
WRITE_TIME;0.096342027;Claix
META_TIME;0.068759322;Claix
ACCESS2_ACCESS;0.011412444;Claix
SLOWEST_RANK_TIME;0.012617581;Claix
MAX_WRITE_TIME;0.004069848;Claix
MAX_READ_TIME;0.006424601;Claix
READ_100_1K;0.006259497;Claix
SIZE_READ_100_1K;0.00547901;Claix
MAX_WRITE_TIME_SIZE;0.004598649;Claix
ACCESS2_COUNT;0.004247074;Claix
RW_SWITCHES;0.004591701;Claix
Others;0;Claix
WRITE_0_100;-0.003555205;Claix
SIZE_WRITE_0_100;-0.00222574;Claix
MEM_NOT_ALIGNED;-0.005309065;Claix
READ_1G_PLUS;-0.007428768;Claix
SIZE_READ_1G_PLUS;-0.006814427;Claix
BYTES_READ;-0.017711442;Claix
